,z_nfm,zc1.1,zc6,zc5,zc9.7.2a,zc9.7.3a,zc9.7.1a,zc9.8a,zc9.101a,zc9.12a,ze1.1c,ze4,ze9.8b,ze11,ze12,ze44,ze14,ze16,zf12_a,zf14.8,zf14.12,zf14
3747,1.0,8000000.0,38.0,23.5,Нет,Нет,Нет,Нет,Да,Нет,,20000.0,2000.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше недели,Нет,Нет,30222.0
3748,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,48.3,17.3,Нет,Нет,Нет,Нет,Нет,Нет,45.0,20000.0,400.0,3200.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше двух недель,Да,Нет,47300.0
3749,5.0,8000000.0,49.4,38.0,Нет,Нет,Нет,Нет,Да,Нет,200.0,36400.0,3000.0,6000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,190215.0
3750,1.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,34.6,20.0,Нет,Нет,Нет,Нет,Нет,Нет,32.0,10000.0,,1500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше недели,Нет,Нет,30600.0
3751,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,42.4,28.5,Нет,Нет,Нет,Нет,Нет,Нет,80.0,10000.0,200.0,2800.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,36000.0
3752,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,28.6,21.2,Нет,Нет,Нет,Нет,Нет,Нет,,7000.0,,2500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Нет,Нет,30700.0
3753,3.0,7000000.0,32.0,18.0,Нет,Нет,Нет,Нет,Нет,Да,280.0,30000.0,1000.0,6500.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Нет,Нет,90000.0
3754,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,44.9,28.6,Нет,Нет,Нет,Нет,Нет,Нет,80.0,18000.0,750.0,7000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,48034.0
3755,2.0,10000000.0,47.0,31.0,Нет,Нет,Нет,Нет,Нет,Да,40.0,18000.0,750.0,5000.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Не больше месяца,Нет,Нет,45000.0
3756,5.0,10500000.0,54.6,48.0,Нет,Да,Нет,Нет,Нет,Нет,350.0,50000.0,1500.0,9000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Ни одного дня,Да,Нет,104309.0
3757,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,56.0,46.0,Нет,Нет,Нет,Нет,Да,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,10000.0,,,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ
3758,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,37.3,18.9,Нет,Нет,Нет,Нет,Нет,Нет,23.0,12000.0,450.0,6500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,25478.0
3759,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,48.6,34.0,Нет,Нет,Нет,Нет,Нет,Нет,68.0,22000.0,600.0,7800.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше двух недель,Нет,Нет,71000.0
3760,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,34.6,23.6,Нет,Нет,Нет,Нет,Да,Нет,35.0,3500.0,500.0,6300.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Нет,Нет,12500.0
3761,2.0,20000000.0,54.0,41.0,Нет,Нет,Нет,Нет,Нет,Нет,45.0,15000.0,2000.0,8500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Да,Нет,90000.0
3762,1.0,15000000.0,77.0,53.0,Нет,Нет,Нет,Нет,Да,Нет,48.0,10000.0,470.0,8000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше недели,Нет,Нет,29000.0
3763,1.0,НЕТ ОТВЕТА,64.0,35.0,Нет,Нет,Нет,Нет,Нет,Да,41.0,10000.0,200.0,9000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Полгода и больше,Нет,Да,104700.0
3764,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,35.2,20.1,Нет,Нет,Нет,Нет,Да,Нет,,12000.0,100.0,600.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,21300.0
3765,3.0,ЖИЛЬЕ ПРОДАТЬ НЕВОЗМОЖНО,54.3,36.5,Нет,Нет,Нет,Нет,Нет,Нет,220.0,30000.0,1200.0,7000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше двух недель,Нет,Нет,62000.0
3766,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,57.3,12.0,Нет,Нет,Нет,Нет,Нет,Нет,80.0,8000.0,300.0,3000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше недели,Да,Нет,45000.0
3767,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,28.7,21.8,Нет,Нет,Нет,Нет,Да,Нет,160.0,12000.0,300.0,3650.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше двух недель,Нет,Нет,28000.0
3768,2.0,ЖИЛЬЕ ПРОДАТЬ НЕВОЗМОЖНО,56.9,34.8,Нет,Нет,Нет,Нет,Нет,Нет,210.0,17000.0,450.0,4100.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Ни одного дня,Нет,Нет,26000.0
3769,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,42.6,36.0,Нет,Нет,Нет,Нет,Нет,Нет,,15000.0,300.0,10000.0,Да,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше недели,Нет,Да,53000.0
3770,2.0,15000000.0,98.0,76.0,Нет,Да,Нет,Нет,Да,Нет,,25000.0,800.0,5800.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Да,Полгода и больше,Нет,Нет,72100.0
