,ze13.33b
3747,4000.0
3748,200.0
3749,4000.0
3750,3600.0
3751,300.0
3752,3500.0
3753,2000.0
3754,2000.0
3755,1000.0
3756,4000.0
3757,0.0
3758,2500.0
3759,600.0
3760,1000.0
3761,0.0
3762,600.0
3763,1500.0
3764,1500.0
3765,1500.0
3766,0.0
3767,100.0
3768,0.0
3769,3000.0
3770,2000.0
3771,5300.0
3772,1077.0
3773,0.0
3774,2000.0
3775,5000.0
3776,0.0
3777,0.0
3778,160.0
3779,1500.0
3780,500.0
3781,2000.0
3782,1500.0
3783,10000.0
3784,3000.0
3785,3000.0
3786,1000.0
3787,0.0
3788,0.0
3789,2000.0
3790,7000.0
3791,3000.0
3792,0.0
3793,5000.0
3794,2000.0
3795,1000.0
3796,5000.0
3797,2000.0
3798,6000.0
3799,3000.0
3800,15500.0
3801,1000.0
3802,9000.0
3803,5000.0
3804,420.0
3805,3000.0
3806,5000.0
3807,3000.0
3808,1500.0
3809,2500.0
3810,0.0
3811,2000.0
3812,500.0
3813,4000.0
3814,2200.0
3815,2000.0
3816,1400.0
3817,0.0
3818,0.0
3819,650.0
3820,0.0
3821,4200.0
3822,7000.0
3823,0.0
3824,12000.0
3825,0.0
3826,0.0
3827,0.0
3828,600.0
3829,7380.0
3830,800.0
3831,4300.0
3832,0.0
3833,650.0
3834,8000.0
3835,1000.0
3836,6000.0
3837,2000.0
3838,500.0
3839,200.0
3840,2000.0
3841,1000.0
3842,1000.0
3843,600.0
3844,1600.0
3845,0.0
3846,0.0
3847,4000.0
3848,1000.0
3849,0.0
3850,12000.0
3851,0.0
3852,0.0
3853,0.0
3854,1000.0
3855,840.0
3856,5000.0
3857,1700.0
3858,600.0
3859,1200.0
3860,850.0
3861,2000.0
3862,2000.0
3863,2000.0
3864,3000.0
3865,2000.0
3866,1000.0
3867,3000.0
3868,4000.0
3869,15000.0
3870,2000.0
3871,3000.0
3872,5000.0
3873,1500.0
3874,5000.0
3875,1500.0
3876,1000.0
3877,2000.0
3878,2000.0
3879,3000.0
3880,2000.0
3881,1000.0
3882,2000.0
3883,5000.0
3884,2000.0
3885,3000.0
3886,2000.0
3887,4000.0
3888,6000.0
3889,2000.0
3890,15000.0
3891,2000.0
3892,400.0
3893,2000.0
3894,4500.0
3895,5000.0
3896,5100.0
3897,5600.0
3898,0.0
3899,3000.0
3900,7000.0
3901,3480.0
3902,1230.0
3903,6000.0
3904,1000.0
3905,0.0
3906,0.0
3907,2400.0
3908,3500.0
3909,0.0
3910,2000.0
3911,2000.0
3912,0.0
3913,2000.0
3914,500.0
3915,140.0
3916,200.0
3917,1500.0
3918,1000.0
3919,5000.0
3920,1800.0
3921,1500.0
3922,800.0
3923,2000.0
3924,0.0
3925,500.0
3926,0.0
3927,9000.0
3928,3300.0
3929,1200.0
3930,0.0
3931,500.0
3932,10000.0
3933,2300.0
3934,19000.0
3935,500.0
3936,2500.0
3937,0.0
3938,1000.0
3939,100.0
3940,5300.0
3941,4000.0
3942,0.0
3943,0.0
3944,0.0
3945,4000.0
3946,0.0
3947,4200.0
3948,0.0
3949,5000.0
3950,8000.0
3951,1800.0
3952,2000.0
3953,3500.0
3954,2000.0
3955,3000.0
3956,3000.0
3957,6000.0
3958,3000.0
3959,300.0
3960,2500.0
3961,2800.0
3962,1200.0
3963,3000.0
3964,800.0
3965,1270.0
3966,1600.0
3967,1500.0
3968,2100.0
3969,1280.0
3970,0.0
3971,1400.0
3972,860.0
3973,0.0
3974,1600.0
3975,0.0
3976,900.0
3977,650.0
3978,0.0
3979,3800.0
3980,1000.0
3981,1300.0
3982,7000.0
3983,2168.0
3984,500.0
3985,2500.0
3986,0.0
3987,500.0
3988,1500.0
3989,500.0
3990,1000.0
3991,1000.0
3992,1500.0
3993,2000.0
3994,4000.0
3995,2000.0
3996,2500.0
3997,0.0
3998,0.0
3999,0.0
4000,5000.0
4001,3200.0
4002,3000.0
4003,1500.0
4004,400.0
4005,9000.0
