iter	Passed	Remaining
0	3	3651
1	6	3234
2	9	3123
3	13	3247
4	15	3087
5	18	3007
6	20	2938
7	23	2891
8	25	2861
9	28	2847
10	31	2816
11	33	2787
12	36	2786
13	39	2789
14	42	2774
15	44	2745
16	47	2736
17	49	2719
18	52	2694
19	54	2694
20	58	2704
21	60	2707
22	63	2689
23	66	2686
24	69	2697
25	71	2687
26	74	2677
27	76	2662
28	79	2660
29	82	2659
30	84	2649
31	87	2644
32	90	2655
33	94	2672
34	97	2675
35	99	2670
36	102	2667
37	105	2662
38	108	2661
39	110	2661
40	114	2667
41	116	2660
42	119	2654
43	121	2649
44	124	2644
45	127	2648
46	130	2644
47	133	2644
48	135	2637
49	138	2629
50	141	2628
51	143	2617
52	145	2607
53	148	2602
54	150	2591
55	153	2585
56	156	2582
57	158	2577
58	161	2576
59	163	2567
60	166	2558
61	168	2551
62	171	2544
63	173	2537
64	176	2532
65	178	2523
66	180	2515
67	183	2517
68	187	2524
69	190	2525
70	193	2526
71	200	2590
72	216	2747
73	220	2761
74	225	2785
75	230	2802
76	234	2809
77	237	2807
78	240	2802
79	243	2804
80	246	2794
81	248	2786
82	251	2779
83	254	2774
84	257	2777
85	261	2776
86	264	2771
87	267	2769
88	271	2775
89	274	2774
90	277	2768
91	281	2781
92	285	2779
93	287	2774
94	290	2771
95	294	2772
96	297	2772
97	300	2767
98	304	2769
99	307	2770
100	311	2771
101	314	2772
102	317	2768
103	320	2763
104	324	2762
105	327	2758
106	329	2752
107	332	2745
108	335	2746
109	339	2746
110	342	2740
111	345	2735
112	347	2730
113	351	2732
114	354	2729
115	357	2726
116	360	2722
117	363	2716
118	366	2713
119	369	2710
120	372	2709
121	375	2702
122	378	2699
123	382	2698
124	385	2700
125	388	2692
126	390	2687
127	393	2680
128	397	2684
129	400	2678
130	402	2672
131	405	2666
132	407	2658
133	410	2655
134	414	2654
135	417	2653
136	420	2649
137	423	2645
138	426	2641
139	430	2643
140	433	2638
141	435	2632
142	438	2626
143	441	2621
144	444	2618
145	446	2613
146	450	2612
147	453	2611
148	457	2610
149	460	2607
150	463	2603
151	466	2601
152	468	2595
153	471	2592
154	474	2586
155	476	2580
156	479	2574
157	482	2570
158	485	2569
159	488	2565
160	491	2560
161	493	2555
162	496	2551
163	499	2547
164	503	2547
165	506	2544
166	509	2540
167	512	2535
168	514	2529
169	517	2524
170	519	2518
171	522	2512
172	524	2507
173	526	2500
174	529	2495
175	532	2492
176	535	2487
177	537	2482
178	540	2477
179	545	2483
180	547	2479
181	551	2477
182	553	2472
183	556	2467
184	560	2469
185	564	2468
186	566	2463
187	569	2458
188	572	2455
189	575	2453
190	578	2450
191	581	2445
192	585	2447
193	596	2478
194	600	2477
195	604	2479
196	608	2480
197	612	2482
198	622	2504
199	629	2517
200	633	2516
201	637	2518
202	642	2521
203	645	2519
204	649	2517
205	658	2537
206	662	2536
207	666	2537
208	670	2538
209	674	2536
210	678	2536
211	682	2536
212	686	2534
213	691	2541
214	696	2544
215	700	2542
216	704	2542
217	707	2539
218	713	2543
219	716	2540
220	719	2536
221	722	2531
222	724	2526
223	727	2520
224	730	2514
225	732	2509
226	735	2504
227	738	2501
228	741	2497
229	744	2493
230	748	2490
231	751	2487
232	754	2483
233	757	2480
234	761	2479
235	764	2476
236	768	2473
237	772	2473
238	775	2469
239	778	2465
240	781	2462
241	785	2459
242	788	2456
243	791	2451
244	793	2446
245	796	2440
246	799	2436
247	802	2434
248	805	2429
249	807	2423
250	810	2418
251	812	2412
252	815	2409
253	818	2404
254	820	2398
255	823	2392
256	825	2387
257	828	2382
258	830	2376
259	832	2370
260	835	2364
261	837	2358
262	839	2352
263	842	2347
264	844	2342
265	847	2337
266	850	2334
267	852	2329
268	855	2323
269	857	2318
