iter	Passed	Remaining
0	8	8318
1	18	9057
2	27	9011
3	34	8558
4	42	8528
5	50	8429
6	58	8305
7	65	8136
8	72	7939
9	79	7827
10	85	7720
11	92	7647
12	99	7589
13	106	7490
14	112	7391
15	118	7268
16	124	7171
17	129	7081
18	135	7017
19	141	6920
20	147	6872
21	153	6835
22	160	6814
23	165	6742
24	173	6765
25	180	6754
26	186	6727
27	193	6723
28	200	6704
29	205	6653
30	211	6609
31	216	6561
32	222	6527
33	228	6493
34	234	6455
35	240	6429
36	246	6418
37	252	6399
38	258	6365
39	265	6366
40	272	6365
41	279	6368
42	284	6340
43	291	6324
44	299	6357
45	305	6341
46	312	6327
47	318	6312
48	323	6280
49	329	6256
50	335	6233
51	340	6210
52	346	6193
53	352	6179
54	358	6162
55	364	6140
56	369	6120
57	376	6117
58	383	6109
59	389	6108
60	396	6096
61	402	6088
62	409	6088
63	415	6079
64	422	6072
65	428	6060
66	433	6042
67	439	6029
68	446	6022
69	451	6000
70	456	5978
71	462	5958
72	467	5937
73	472	5915
74	478	5899
75	484	5887
76	489	5865
77	495	5852
78	501	5847
79	508	5844
80	513	5830
81	519	5816
82	525	5802
83	530	5786
84	536	5771
85	542	5767
86	547	5750
87	553	5733
88	559	5722
89	564	5711
90	570	5703
91	576	5691
92	582	5683
93	589	5678
94	595	5672
95	601	5668
96	607	5656
97	613	5646
98	619	5635
99	624	5624
100	631	5617
101	636	5606
102	642	5592
103	647	5579
104	653	5568
105	659	5560
106	665	5557
107	671	5547
108	678	5545
109	684	5538
110	690	5532
111	697	5529
112	703	5524
113	710	5519
114	716	5516
115	739	5633
116	746	5630
117	752	5627
118	759	5621
119	766	5620
120	773	5617
121	781	5623
122	788	5621
123	796	5623
124	803	5621
125	809	5616
126	818	5626
127	827	5635
128	834	5634
129	840	5626
130	847	5619
131	852	5608
132	860	5606
133	866	5600
134	874	5604
135	881	5600
136	888	5593
137	893	5583
138	900	5575
139	906	5570
140	913	5564
141	920	5564
142	926	5554
143	933	5547
144	950	5603
145	957	5601
146	964	5597
147	971	5592
148	979	5592
149	986	5591
150	994	5591
151	1001	5587
152	1008	5583
153	1016	5584
154	1023	5581
155	1029	5569
156	1036	5566
157	1043	5561
158	1050	5555
159	1057	5554
160	1065	5550
161	1072	5545
162	1078	5537
163	1084	5529
164	1091	5521
165	1099	5524
166	1106	5521
167	1114	5518
168	1121	5516
169	1128	5509
170	1135	5507
171	1142	5500
172	1149	5493
173	1155	5484
174	1162	5482
175	1169	5476
176	1177	5476
177	1185	5473
178	1192	5469
