,"Площадь
территории, 
тыс. км2","Численность 
 населения 
на 1 января 
2021 г., 
тыс. человек","Средне-
годовая численность
занятых, 
тыс. человек","Средне-
душевые денежные доходы 
(в месяц), руб.","Потреби-
тельские расходы
в среднем 
на душу населения 
(в месяц), руб.
","Средне-
месячная 
номиналь-
ная начис-
ленная 
заработная плата работников организаций, руб.","Валовой 
региональ-
ный
 продукт 
в 2019 г. ,
млрд руб.","Инвестиции 
в основной 
капитал, 
млрд руб.","Основные 
фонды в экономике 
(по полной учетной стоимости; на конец года),
млрд руб.","Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, 
млрд руб.",,,,"Продукция 
сельского 
хозяйства - 
всего,
млрд руб.",в том числе,,"Ввод 
в действие 
жилых домов,
тыс. м2 
общей 
площади 
жилых 
помещений","Оборот 
розничной 
торговли, 
млрд руб.
","Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5), 
млрд руб."
,,,,,,,,,,"добыча 
полезных 
ископаемых","обрабаты-
вающие производства","обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,"растение-
водства","животно-
водства",,,
Российская Федерация,"17 125,2","146 171,0","69 550,3",36 073,27 276,51 344,"94 831,1","20 118,4","362 191,7","14 498,9","47 782,6","5 960,0","1 428,8","6 468,8","3 612,7","2 856,1","82 184,5","33 873,7","13 418,8"
Центральный федеральный округ,"650,2","39 251,0","20 765,6",48 226,35 117,65 319,"32 937,7","6 276,7","128 407,4","1 443,9","17 374,2","1 945,4","469,6","1 810,4","1 038,7","771,7","25 533,3","11 849,6","5 481,6"
,,,,,,,,,,,,,,,,,,,
Белгородская область,"27,1","1 541,3","751,9",32 841,26 473,37 442,"956,0","168,1","2 928,6","189,8","746,4","26,8","11,2","288,9","116,0","172,9","1 148,6","366,3","361,3"
Брянская область,"34,9","1 182,7","498,5",28 596,23 765,31 946,"397,7","73,9","1 855,1","0,3","255,7","17,9","9,6","97,3","50,9","46,4","426,7","268,0","23,2"
Владимирская область,"29,1","1 342,1","618,6",25 922,20 653,35 240,"537,4","93,4","1 993,9","5,0","526,2","37,3","12,9","32,9","14,0","18,9","726,2","239,9","59,3"
Воронежская область,"52,2","2 305,6","1 088,1",32 078,27 110,36 317,"1 002,6","258,5","4 156,9","9,2","552,6","137,8","18,6","262,3","169,4","92,9","1 725,8","584,3","62,5"
Ивановская область,"21,4"," 987,0","428,6",26 277,20 058,29 083,"249,8","44,3","1 179,1","1,2","184,0","28,2","6,4","19,4","7,9","11,5","333,2","178,9","5,7"
Калужская область,"29,8","1 001,0","495,0",32 442,24 683,43 994,"545,1","112,0","2 397,5","4,8","883,8","25,2","10,3","54,4","24,2","30,2","819,3","215,1","15,6"
Костромская область,"60,2","628,4","271,9",25 780,20 711,32 220,"202,9","26,1","935,3","1,2","137,5","32,1","3,8","18,3","7,0","11,3","258,5","113,3","11,5"
Курская область,"30,0","1 096,5","492,1",29 786,22 620,35 805,"496,7","140,1","1 639,4","104,7","210,2","57,3","6,6","193,3","127,9","65,4","522,9","227,9","83,5"
Липецкая область,"24,0","1 128,2","556,0",32 226,25 829,36 790,"570,4","167,1","2 144,1","6,8","737,8","23,3","11,3","163,7","115,4","48,3","1 231,8","268,2","100,2"
Московская область,"44,3","7 708,5","3 422,7",47 046,36 961,58 066,"5 128,4","1 052,5","27 739,7","13,8","3 116,6","278,6","114,2","113,7","62,8","50,9","9 040,3","2 676,1","586,3"
Орловская область,"24,7","724,7","293,8",26 843,21 331,31 862,"265,7","55,1","1 093,5","0,3","132,1","13,4","4,2","105,7","79,3","26,4","440,3","142,2","35,2"
Рязанская область,"39,6","1 098,3","472,7",27 312,21 639,36 459,"436,0","61,9","2 286,3","1,5","341,4","40,1","9,1","86,0","55,6","30,4","647,0","216,7","47,1"
Смоленская область,"49,8","921,1","407,2",28 152,21 305,33 139,"348,1","64,8","1 520,3","2,0","219,5","54,6","13,2","26,8","11,2","15,6","444,2","172,8","13,7"
Тамбовская область,"34,5","994,4","449,0",27 889,21 730,31 063,"354,3","97,3","1 577,4","0,3","188,2","14,9","4,3","170,8","112,6","58,2","702,7","198,4","51,6"
Тверская область,"84,2","1 245,6","576,0",27 681,21 885,36 077,"485,2","78,4","2 889,9","0,8","341,5","92,2","9,4","39,5","9,3","30,2","660,2","250,3","20,0"
Тульская область,"25,7","1 449,1","705,1",29 385,23 153,40 889,"681,6","126,4","2 645,9","8,3","850,7","55,2","17,9","92,9","59,0","33,9","679,8","299,8","62,8"
Ярославская область,"36,2","1 241,4","597,5",29 514,22 713,37 820,"606,8","89,1","2 685,0","1,2","420,8","46,2","11,3","39,4","11,7","27,7","746,3","255,0","60,2"
г. Москва,"2,6","12 655,1","8 641,0",77 283,51 704,100 070,"19 673,0","3 567,6","66 739,5","1 092,7","7 529,1","964,3","195,2","5,2","4,4","0,8","4 979,4","5 176,5","3 881,9"
Северо-Западный федеральный округ,"1 687,0","13 942,0","6 954,2",39 366,29 478,57 162,"10 522,5","2 204,7","46 317,9","947,2","6 617,3","660,1","147,5","284,3","87,6","196,7","9 162,6","3 418,7","3 029,8"
,,,,,,,,,,,,,,,,,,,
Республика Карелия,"180,5","609,1","260,1",32 583,26 337,46 501,"325,2","57,0","1 168,9","88,1","126,3","26,7","4,3","5,2","2,5","2,7","294,2","138,6","51,2"
Республика Коми,"416,8","813,6","383,2",36 677,24 249,57 156,"720,7","140,4","4 239,8","303,7","190,1","42,5","8,9","12,1","3,7","8,4","204,2","164,8","13,8"
Архангельская область,"589,9","1 127,1","497,7",36 779,28 929,55 891,"890,2","198,8","3 475,9","286,2","260,9","41,4","6,5","11,0","5,0","6,0","373,9","281,9","0,2"
в том числе: ,,,,,,,,,,,,,,,,,,,
Ненецкий автономный,"176,8","44,4","31,2",84 147,31 121,92 237,"331,1","90,2","1 132,8","255,5","1,7","5,0","0,7","0,8","0,1","0,7","22,1","10,0","-25,8"
округ,,,,,,,,,,,,,,,,,,,
Архангельская область,"413,1","1 082,7","466,5",34 852,28 840,52 779,"559,1","108,6","2 343,1","30,7","259,1","36,4","5,9","10,2","4,9","5,3","351,8","271,9","26,0"
без автономного округа,,,,,,,,,,,,,,,,,,,
Вологодская область,"144,5","1 151,0","517,6",29 522,21 865,42 775,"630,1","203,6","3 050,6","0,6","728,1","40,1","8,6","36,0","9,4","26,6","500,0","211,4","387,6"
Калининградская область,"15,1","1 018,7","472,8",29 518,22 543,36 647,"519,7","97,5","2 247,2","14,8","579,4","49,9","7,7","46,2","24,0","22,2","1 164,0","186,1","256,2"
Ленинградская область,"83,9","1 892,7","782,6",33 149,26 907,48 286,"1 224,5","458,1","5 544,1","15,4","1 091,3","169,2","21,5","97,1","27,0","70,1","2 666,0","481,7","148,7"
Мурманская область,"144,9","732,9","348,3",46 355,31 581,69 135,"616,9","191,1","2 709,0","199,2","745,2","54,9","9,8","1,7","0,5","1,2","35,6","179,0","223,1"
Новгородская область,"54,5","592,4","258,8",26 268,22 646,34 169,"273,5","42,2","1 367,0","1,0","208,3","19,8","3,4","25,7","7,8","17,9","282,5","121,6","42,5"
Псковская область,"55,4","620,2","272,0",26 436,21 935,31 496,"197,1","37,9","835,7","2,4","122,9","12,0","5,4","49,4","7,6","41,8","272,6","125,2","7,5"
г. Санкт-Петербург,"1,4","5 384,3","3 161,1",49 207,35 917,68 667,"5 124,6","778,0","21 679,7","35,9","2 564,8","203,6","71,4",–,–,–,"3 369,6","1 528,4","1 899,0"
Южный федеральный округ,"447,8","16 482,5","7 328,9",30 678,25 858,36 620,"6 598,6","1 450,2","29 630,0","359,8","2 788,4","445,9","109,2","1 113,2","808,5","304,7","10 701,1","3 534,1","599,0"
,,,,,,,,,,,,,,,,,,,
Республика Адыгея,"7,8","463,2","152,2",30 293,24 523,32 161,"132,2","38,6","502,1","2,4","51,8","4,9","1,9","31,8","22,8","9,0","258,1","107,2","3,0"
Республика Калмыкия,"74,7","270,0","104,0",19 811,11 496,32 013,"88,9","37,6","372,5",…7),"0,6","4,1",…7),"27,7","7,4","20,3","87,5","23,3","1,0"
Республика Крым,"26,1","1 901,5","843,0",22 950,17 997,34 181,"469,3","221,6","2 758,3","12,4","100,4","49,6","9,0","52,4","31,0","21,4","809,0","282,4","-10,6"
Краснодарский край,"75,5","5 683,9","2 609,1",36 838,32 528,38 499,"2 569,8","500,3","13 020,4","24,3","919,0","113,5","30,5","433,0","312,4","120,6","5 124,3","1 487,3","333,9"
