iter	MAE
0	1368.556094
1	1351.602791
2	1338.123386
3	1327.650555
4	1320.791998
5	1310.245842
6	1300.478615
7	1288.200758
8	1282.44468
9	1277.356929
10	1272.1345
11	1263.662094
12	1254.525292
13	1246.978174
14	1239.454207
15	1232.460236
16	1225.479865
17	1217.878172
18	1207.93587
19	1200.915398
20	1196.534323
21	1192.752281
22	1189.521095
23	1178.810278
24	1171.780232
25	1167.245004
26	1165.709574
27	1159.417923
28	1155.197398
29	1147.592766
30	1137.787373
31	1128.709966
32	1120.86559
33	1119.855685
34	1113.810977
35	1109.412359
36	1105.187664
37	1100.382864
38	1098.03312
39	1096.879131
40	1094.998819
41	1094.160362
42	1086.771438
43	1079.575378
44	1068.227439
45	1062.167439
46	1060.913809
47	1052.891289
48	1051.759223
49	1050.42387
50	1049.088414
51	1048.270794
52	1045.875528
53	1039.192417
54	1035.86339
55	1033.28856
56	1028.552227
57	1026.402406
58	1022.805219
59	1017.389725
60	1013.521344
61	1013.038722
62	1011.472095
63	1008.984327
64	997.9535193
65	997.3704182
66	996.9209039
67	994.4530616
68	992.7964982
69	992.5342834
70	991.6074932
71	984.0022745
72	981.432713
73	981.1619542
74	975.7898372
75	966.8783893
76	966.3064262
77	962.9305096
78	956.1956177
79	952.6028493
80	951.798522
81	948.3710637
82	945.7644979
83	945.3112176
84	945.1233296
85	944.8661856
86	943.0528786
87	942.8619192
88	941.5321807
89	939.2802118
90	936.5839947
91	933.1886171
92	931.6446937
93	931.4429176
94	930.6467631
95	925.7523214
96	921.994844
97	921.864707
98	916.9618138
99	915.2554649
100	914.593116
101	910.53086
102	910.3844484
103	907.7788435
104	905.3109208
105	903.4909491
106	900.8977592
107	898.9854886
108	896.4595476
109	895.5867886
110	893.8619968
111	889.0950853
112	887.5873871
113	886.713073
114	882.5302433
115	875.9832081
116	875.6122825
117	872.4903887
118	870.9325385
119	870.1378395
120	863.3012879
121	862.5597621
122	860.9044309
123	857.4558743
124	856.7821748
125	856.6325744
126	855.1097076
127	849.3933428
128	849.1217813
129	847.5039175
130	846.6760452
131	843.5848403
132	841.3427759
133	838.4462146
134	836.4774465
135	832.0040058
136	831.2576788
137	829.9217289
138	826.6422355
139	823.1502643
140	822.4293256
141	821.7237904
142	816.9519032
143	816.1297334
144	813.3573028
145	812.6285785
146	811.6149503
147	811.191173
148	808.1309204
149	808.0267069
150	806.6545912
151	806.3901987
152	804.9227789
153	800.1637859
154	797.8964779
155	794.6692025
156	794.3957893
157	794.1075851
158	793.6870059
159	792.5109346
160	786.7356998
161	786.463422
162	786.2780953
163	785.1714034
164	782.9066037
165	782.863046
166	782.1410033
167	781.2620927
168	781.0668045
169	780.6965199
170	780.5914454
171	779.3911432
172	778.3857317
173	775.695717
174	775.3231357
175	772.6449114
176	772.327894
177	772.0003643
178	771.9520417
179	770.1650288
180	766.544095
181	766.4571571
182	766.3613771
183	765.7945523
184	765.6794178
185	763.2021171
186	762.9847584
187	762.4906577
188	759.1307812
189	758.8107652
190	758.3596464
191	758.231743
192	758.0614884
193	757.5821448
194	756.6239039
195	756.4503021
196	756.2530665
197	756.0856479
198	756.0560559
199	755.1072446
200	751.7408229
201	750.9894083
202	750.5233672
203	749.5865494
204	749.31167
205	748.9625424
206	748.7371825
207	748.5678822
208	748.3162981
209	748.1510575
210	748.072987
211	747.4770186
212	747.435833
213	747.2513424
214	746.7897716
215	745.4831183
216	745.1433083
217	744.7929398
218	743.7160722
219	742.8773762
220	742.5005644
221	742.4163705
222	742.3092278
223	741.3786286
224	740.9749998
225	740.6786312
226	740.6573477
227	739.9574579
228	739.7005269
229	739.5838973
230	739.4976593
231	736.8790709
232	736.5638088
233	736.2281686
234	735.4060645
235	735.0398859
236	734.3351293
237	734.1470912
238	733.5915269
239	733.5165657
240	733.2182411
241	733.1980471
242	733.0940376
243	732.9348528
244	732.7976792
245	732.3019474
246	729.8084375
247	728.8613209
248	728.5873966
249	728.0783358
250	727.811454
251	727.0095679
252	726.9757907
253	726.5992571
254	725.8083202
255	725.5326415
256	725.2272178
257	724.9099142
258	724.5922573
259	724.0295691
260	723.7668861
261	723.6821365
262	723.2126255
263	722.6291204
264	722.1096891
265	721.9053239
266	721.1157492
267	720.6575334
268	720.6263651
269	720.6048139
270	719.7112933
271	719.4329462
