iter	BalancedAccuracy	Logloss
0	0.9691860465	0.2232298527
1	0.9691860465	0.1456592302
2	0.9791860465	0.0934447207
3	0.9791860465	0.05959698414
4	0.9891860465	0.04809605979
5	0.995	0.03642963232
6	0.995	0.03230199842
7	0.995	0.02779364096
8	0.995	0.02468277129
9	1	0.02116705351
10	1	0.01906744146
11	1	0.01750574811
12	1	0.01589256371
13	1	0.01458435002
14	1	0.01332312071
15	1	0.01198589628
16	1	0.01085518526
17	1	0.01043236089
18	1	0.009896063142
19	1	0.009270933362
20	1	0.008813943942
21	1	0.00853427106
22	1	0.008155593536
23	1	0.007808201659
24	1	0.007500912801
25	1	0.007318126032
26	1	0.007094813199
27	1	0.0068452917
28	1	0.006605347603
29	1	0.006469001295
30	1	0.006253085957
31	1	0.006080129022
32	1	0.005906244202
33	1	0.00563281873
34	1	0.005489626317
35	1	0.005362658622
36	1	0.005184712203
37	1	0.005075185184
38	1	0.004941912193
39	1	0.004867948022
40	1	0.004770990294
41	1	0.004672108788
42	1	0.004536302774
43	1	0.004475048502
44	1	0.004399551122
45	1	0.004259923019
46	1	0.004208229241
47	1	0.004140594032
48	1	0.004078211301
49	1	0.003983673387
50	1	0.003937146633
51	1	0.003858343609
52	1	0.003814443242
53	1	0.003773271453
54	1	0.003713430275
55	1	0.003675107825
56	1	0.003514695473
57	1	0.003465773476
58	1	0.003386182616
59	1	0.003353782502
60	1	0.003307135158
61	1	0.003257898757
62	1	0.00313137201
63	1	0.003092480275
64	1	0.002984429056
65	1	0.002941236534
66	1	0.002902265202
67	1	0.002850728929
68	1	0.002818790781
69	1	0.002788435853
70	1	0.002732025827
71	1	0.002703133309
72	1	0.002675632528
73	1	0.002654297192
74	1	0.002623825607
75	1	0.002589736045
76	1	0.002547586917
77	1	0.002518796432
78	1	0.002480482242
79	1	0.00246772097
80	1	0.00246772097
81	1	0.002449890183
82	1	0.002434581156
83	1	0.002417847659
84	1	0.00238600043
85	1	0.002365247612
86	1	0.002331823012
87	1	0.002312327089
88	1	0.002281960681
89	1	0.002250261487
90	1	0.002235193401
91	1	0.002204925352
92	1	0.002184764172
93	1	0.002159918271
94	1	0.002140490436
95	1	0.002108799748
96	1	0.002098345519
97	1	0.002084714534
98	1	0.002056047122
99	1	0.002038331811
