iter	Passed	Remaining
0	1	135
1	2	137
2	4	135
3	5	136
4	7	135
5	8	133
6	9	130
7	11	128
8	12	126
9	13	124
10	15	122
11	16	120
12	17	118
13	19	117
14	20	115
15	21	114
16	23	112
17	24	110
18	25	108
19	26	107
20	28	105
21	29	104
22	30	102
23	31	100
24	33	99
25	34	97
26	35	96
27	36	94
28	38	93
29	39	92
30	40	91
31	42	89
32	43	88
33	44	86
34	45	85
35	47	83
36	48	82
37	49	81
38	51	80
39	52	78
40	53	77
41	55	76
42	56	74
43	57	73
44	59	72
45	60	70
46	61	69
47	62	68
48	64	66
49	65	65
50	66	63
51	67	62
52	69	61
53	71	60
54	72	59
55	73	57
56	75	56
57	76	55
58	77	53
59	79	52
60	81	52
61	82	50
62	84	49
63	85	48
64	87	46
65	88	45
66	89	44
67	91	42
68	92	41
69	94	40
70	95	38
71	96	37
72	98	36
73	99	35
74	101	33
75	102	32
76	104	31
77	105	29
78	106	28
79	107	26
80	108	25
81	110	24
82	111	22
83	112	21
84	114	20
85	116	18
86	117	17
87	118	16
88	120	14
89	121	13
90	122	12
91	124	10
92	125	9
93	126	8
94	128	6
95	129	5
96	131	4
97	133	2
98	134	1
99	135	0
