iter	Passed	Remaining
0	31	31126
1	71	35578
2	102	34005
3	118	29439
4	144	28841
5	161	26700
6	184	26161
7	197	24544
8	211	23329
9	230	22836
10	253	22813
11	288	23752
12	317	24088
13	345	24367
14	363	23850
15	398	24478
16	438	25336
17	476	25980
18	512	26469
19	557	27308
20	600	27974
21	644	28667
22	697	29608
23	741	30156
24	779	30386
25	815	30564
26	856	30869
27	896	31116
28	937	31383
29	976	31560
30	1018	31832
31	1058	32015
32	1152	33763
33	1264	35917
34	1312	36182
35	1355	36302
36	1400	36456
37	1441	36481
38	1485	36609
39	1526	36625
40	1569	36704
41	1611	36761
42	1658	36907
43	1704	37036
44	1742	36973
45	1781	36943
46	1821	36924
47	1871	37114
48	1912	37124
49	1952	37088
50	1989	37025
51	2031	37036
52	2075	37078
53	2115	37061
54	2154	37012
55	2191	36937
56	2230	36900
57	2266	36815
58	2307	36809
59	2349	36811
60	2392	36826
61	2418	36583
62	2447	36404
63	2478	36246
64	2511	36124
65	2538	35928
66	2568	35761
67	2605	35714
68	2639	35613
69	2668	35447
70	2691	35220
71	2719	35053
72	2745	34858
73	2769	34653
74	2794	34469
75	2825	34355
76	2857	34253
77	2886	34120
78	2915	33984
79	2939	33803
80	2966	33652
81	2992	33504
82	3019	33355
83	3044	33201
84	3089	33254
85	3118	33143
86	3140	32958
87	3165	32809
88	3190	32659
89	3217	32535
90	3245	32417
91	3271	32292
92	3305	32237
93	3334	32134
94	3360	32016
95	3386	31892
96	3412	31768
97	3440	31671
98	3467	31558
99	3497	31476
100	3527	31398
101	3561	31351
102	3585	31228
103	3611	31112
104	3641	31043
105	3666	30925
106	3693	30821
107	3720	30731
108	3755	30698
109	3778	30572
110	3806	30488
111	3832	30384
112	3860	30302
113	3882	30170
114	3909	30083
115	3934	29986
116	3971	29969
117	3998	29886
118	4025	29804
119	4054	29734
120	4081	29653
121	4108	29570
122	4135	29483
123	4163	29415
124	4195	29368
125	4223	29299
126	4252	29229
127	4279	29151
128	4306	29077
129	4332	28996
130	4360	28925
131	4390	28872
132	4428	28871
133	4460	28824
134	4489	28763
135	4515	28683
136	4544	28626
137	4570	28552
138	4597	28479
139	4627	28427
140	4667	28434
141	4706	28436
142	4741	28418
143	4775	28385
144	4820	28425
145	4878	28533
146	4912	28503
147	4945	28471
148	4984	28467
149	5025	28478
150	5071	28512
151	5103	28471
152	5130	28403
153	5156	28327
154	5186	28276
155	5217	28228
156	5246	28171
157	5274	28106
158	5303	28052
159	5336	28014
160	5344	27853
161	5371	27786
162	5398	27722
163	5424	27650
164	5452	27592
165	5480	27534
166	5507	27471
167	5522	27349
168	5556	27320
169	5585	27268
170	5613	27212
171	5640	27154
172	5669	27100
173	5695	27037
174	5722	26977
175	5768	27006
176	5806	26997
177	5830	26926
178	5855	26856
179	5885	26812
180	5912	26752
181	5938	26690
182	5949	26560
183	5980	26524
184	6011	26483
185	6039	26430
186	6069	26386
187	6099	26345
188	6125	26283
189	6151	26223
190	6184	26196
191	6217	26164
192	6246	26119
193	6272	26060
194	6299	26004
195	6325	25947
196	6350	25883
197	6377	25831
198	6406	25787
199	6438	25755
200	6466	25705
201	6497	25668
202	6524	25615
203	6550	25559
204	6578	25512
205	6608	25470
206	6622	25369
207	6651	25325
208	6677	25273
209	6708	25237
210	6734	25181
211	6759	25125
212	6786	25075
213	6815	25030
214	6844	24991
215	6877	24961
216	6892	24869
217	6916	24812
218	6942	24758
219	6968	24705
220	6995	24658
221	7022	24609
222	7063	24610
223	7098	24592
224	7127	24548
225	7161	24524
226	7187	24474
227	7214	24427
228	7240	24378
229	7272	24346
230	7307	24325
231	7333	24277
232	7361	24234
233	7391	24196
234	7418	24148
235	7444	24098
236	7473	24058
237	7502	24020
238	7533	23988
239	7553	23919
240	7580	23873
241	7608	23830
242	7634	23782
243	7660	23733
244	7685	23684
245	7714	23645
246	7747	23618
247	7775	23576
248	7804	23539
249	7829	23489
250	7855	23442
251	7879	23388
252	7907	23347
253	7940	23322
254	7967	23277
255	7991	23225
256	8005	23145
257	8031	23099
258	8060	23061
259	8082	23004
260	8109	22960
261	8135	22916
262	8169	22892
263	8198	22856
264	8225	22814
265	8252	22770
266	8278	22728
267	8292	22649
268	8311	22587
269	8338	22543
270	8365	22503
271	8399	22480
272	8427	22443
273	8455	22402
274	8480	22357
275	8498	22293
276	8524	22250
277	8534	22164
278	8559	22120
279	8587	22082
280	8617	22049
281	8661	22053
282	8687	22011
283	8715	21972
284	8741	21929
285	8765	21883
286	8789	21837
287	8820	21806
288	8853	21781
289	8881	21743
290	8907	21702
291	8933	21661
292	8960	21620
293	8985	21576
294	9011	21534
295	9039	21499
296	9076	21484
297	9105	21449
298	9120	21382
299	9146	21342
300	9173	21303
301	9199	21262
302	9225	21221
303	9251	21180
304	9281	21149
305	9312	21120
306	9341	21086
307	9366	21044
308	9394	21007
309	9423	20975
310	9449	20935
311	9477	20898
312	9506	20865
313	9536	20833
314	9562	20795
315	9590	20758
316	9614	20715
317	9642	20680
318	9669	20643
319	9697	20607
320	9728	20579
321	9757	20544
322	9782	20503
323	9817	20484
324	9847	20451
325	9873	20412
326	9899	20374
327	9923	20330
328	9969	20333
329	9996	20296
330	10025	20263
331	10059	20240
332	10088	20207
333	10117	20174
334	10153	20155
335	10194	20145
336	10223	20112
337	10250	20076
338	10260	20006
339	10287	19969
340	10314	19932
341	10341	19896
342	10376	19876
343	10407	19846
344	10435	19812
345	10462	19776
346	10488	19738
347	10515	19702
348	10561	19701
349	10592	19671
350	10624	19644
351	10643	19594
352	10673	19562
353	10700	19526
354	10726	19489
355	10752	19451
356	10779	19416
357	10810	19385
358	10839	19353
359	10874	19333
360	10910	19312
361	10937	19276
362	10964	19240
363	10990	19204
364	11022	19175
365	11053	19147
366	11070	19094
367	11099	19061
368	11123	19021
369	11144	18975
370	11169	18936
371	11194	18897
372	11228	18875
373	11263	18852
374	11297	18828
375	11330	18803
376	11347	18752
377	11380	18726
378	11414	18702
379	11448	18679
380	11484	18658
381	11514	18628
382	11545	18599
383	11596	18602
384	11628	18575
385	11662	18551
386	11699	18532
387	11732	18506
388	11766	18481
389	11798	18453
390	11814	18402
391	11856	18390
392	11889	18363
393	11916	18328
394	11943	18293
395	11972	18261
396	11999	18226
397	12024	18188
398	12056	18160
399	12081	18122
400	12109	18088
401	12140	18059
402	12166	18023
403	12180	17969
404	12210	17939
405	12235	17901
406	12264	17868
407	12303	17852
408	12337	17827
409	12348	17769
410	12395	17764
411	12429	17738
412	12472	17727
413	12505	17701
414	12540	17677
415	12576	17655
416	12613	17635
417	12646	17608
418	12679	17582
419	12701	17540
420	12720	17494
421	12741	17451
422	12772	17423
423	12806	17397
424	12857	17395
425	12896	17376
426	12926	17346
427	12947	17303
428	12976	17272
429	13025	17266
430	13060	17242
431	13098	17222
432	13130	17193
433	13161	17164
434	13191	17133
435	13221	17103
436	13254	17075
437	13291	17053
438	13329	17033
439	13360	17004
440	13390	16973
441	13420	16942
442	13440	16898
443	13469	16867
444	13501	16839
445	13534	16811
446	13563	16779
447	13586	16740
448	13620	16714
449	13631	16660
450	13658	16626
451	13686	16593
452	13717	16564
453	13744	16529
454	13769	16493
455	13798	16461
456	13825	16427
457	13854	16395
458	13885	16365
459	13916	16337
460	13950	16310
461	13977	16277
462	14006	16245
463	14029	16206
464	14055	16171
465	14080	16135
466	14107	16100
467	14132	16065
468	14160	16031
469	14193	16005
470	14221	15973
471	14247	15937
472	14268	15897
473	14299	15867
474	14324	15832
475	14350	15797
476	14382	15768
477	14409	15736
478	14436	15702
479	14462	15667
480	14486	15631
481	14515	15599
482	14557	15582
483	14588	15553
484	14618	15522
485	14647	15491
486	14673	15456
487	14702	15426
488	14729	15391
489	14753	15355
490	14778	15320
491	14808	15289
492	14836	15257
493	14857	15218
494	14883	15184
495	14909	15150
496	14935	15115
497	14961	15081
498	14987	15047
499	15017	15017
500	15051	14991
501	15078	14958
502	15102	14922
503	15129	14889
504	15154	14854
505	15179	14819
506	15208	14788
507	15237	14757
508	15265	14726
509	15283	14683
510	15309	14649
511	15332	14613
512	15358	14580
513	15385	14547
514	15415	14517
515	15445	14488
516	15474	14457
517	15499	14422
518	15527	14390
519	15554	14357
520	15579	14323
521	15607	14291
522	15633	14258
523	15665	14230
524	15684	14190
525	15711	14157
526	15737	14124
527	15750	14079
528	15775	14045
529	15799	14011
530	15813	13967
531	15838	13933
532	15864	13900
533	15893	13869
534	15920	13837
535	15945	13803
536	15973	13771
537	15997	13737
538	16026	13707
539	16057	13678
540	16083	13645
541	16114	13617
542	16142	13585
543	16172	13556
544	16200	13524
545	16225	13491
546	16251	13459
547	16277	13426
548	16305	13394
549	16344	13373
550	16374	13343
551	16401	13311
552	16428	13279
553	16456	13248
554	16483	13216
555	16500	13176
556	16528	13145
557	16560	13117
558	16588	13086
559	16615	13055
560	16636	13018
561	16666	12989
562	16681	12948
563	16707	12915
564	16732	12882
565	16759	12851
566	16791	12823
567	16809	12784
568	16837	12753
569	16864	12722
570	16888	12688
571	16912	12654
572	16941	12625
573	16971	12595
574	17000	12565
575	17030	12536
576	17058	12505
577	17084	12473
578	17110	12441
579	17136	12408
580	17165	12378
581	17197	12351
582	17224	12320
583	17250	12288
584	17278	12257
585	17303	12224
586	17320	12186
587	17346	12154
588	17373	12122
589	17404	12094
590	17435	12065
591	17460	12033
592	17487	12002
593	17515	11971
594	17541	11939
595	17567	11908
596	17597	11878
597	17625	11848
598	17651	11816
599	17679	11786
600	17704	11753
601	17730	11722
602	17756	11690
603	17783	11659
604	17809	11627
605	17836	11596
606	17867	11568
607	17895	11537
608	17919	11505
609	17946	11474
610	17971	11441
611	18002	11413
612	18032	11384
613	18059	11353
614	18090	11324
615	18117	11293
616	18143	11262
617	18168	11230
618	18198	11201
619	18237	11177
620	18266	11148
621	18294	11117
622	18327	11090
623	18354	11059
624	18380	11028
625	18405	10996
626	18430	10964
627	18454	10931
628	18482	10901
629	18515	10873
630	18545	10845
631	18580	10819
632	18611	10790
633	18640	10760
634	18668	10730
635	18700	10703
636	18736	10676
637	18768	10649
638	18798	10620
639	18824	10589
640	18852	10558
641	18877	10526
642	18902	10495
643	18935	10467
644	18969	10440
645	18996	10409
646	19025	10380
647	19057	10352
648	19088	10323
649	19115	10292
650	19144	10263
651	19176	10235
652	19209	10207
653	19236	10176
654	19262	10145
655	19289	10115
656	19317	10085
657	19346	10055
658	19375	10025
659	19409	9998
660	19436	9968
661	19463	9937
662	19488	9905
663	19518	9876
664	19544	9845
665	19571	9815
666	19598	9784
667	19631	9756
668	19657	9726
669	19683	9695
670	19710	9664
671	19737	9633
672	19765	9603
673	19791	9572
674	19820	9543
675	19850	9514
676	19875	9482
677	19902	9452
678	19930	9422
679	19955	9390
680	19982	9360
681	20010	9330
682	20039	9301
683	20069	9271
684	20100	9243
685	20126	9212
686	20156	9183
687	20183	9153
688	20211	9123
689	20238	9092
690	20266	9062
691	20294	9032
692	20334	9008
693	20359	8977
694	20387	8947
695	20414	8916
696	20441	8886
697	20469	8856
698	20497	8826
699	20527	8797
700	20551	8766
701	20578	8735
702	20602	8703
703	20628	8673
704	20662	8645
705	20686	8614
706	20715	8585
707	20746	8556
708	20771	8525
709	20801	8496
710	20830	8466
711	20857	8436
712	20883	8405
713	20911	8376
714	20947	8349
715	20975	8319
716	21000	8289
717	21031	8260
718	21058	8230
719	21083	8199
720	21110	8169
721	21138	8139
722	21170	8110
723	21198	8081
724	21224	8050
725	21250	8020
726	21275	7989
727	21301	7958
728	21326	7928
729	21353	7897
730	21385	7869
731	21410	7838
732	21434	7807
733	21462	7778
734	21488	7747
735	21514	7717
736	21540	7686
737	21565	7656
738	21596	7627
739	21624	7597
740	21651	7567
741	21678	7537
742	21706	7508
743	21730	7477
744	21757	7447
745	21783	7417
746	21813	7387
747	21841	7358
748	21869	7328
749	21894	7298
750	21921	7268
751	21953	7239
752	21979	7209
753	22007	7180
754	22039	7152
755	22067	7122
756	22093	7092
757	22119	7062
758	22145	7031
759	22173	7002
760	22198	6971
761	22224	6941
