iter	Passed	Remaining
0	1	133
1	2	137
2	3	117
3	4	118
4	6	118
5	7	112
6	8	113
7	9	112
8	10	106
9	11	106
10	13	105
11	14	105
12	15	104
13	16	103
14	18	102
15	19	101
16	20	100
17	21	99
18	23	98
19	24	97
20	25	96
21	27	95
22	28	94
23	29	93
24	30	92
25	32	91
26	33	90
27	34	89
28	35	87
29	37	86
30	38	85
31	39	84
32	41	83
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	48	76
39	50	75
40	51	74
41	53	73
42	55	73
43	58	74
44	60	73
45	61	72
46	63	71
47	64	69
48	66	68
49	67	67
50	69	66
51	70	65
52	73	64
53	74	63
54	76	62
55	77	60
56	78	59
57	80	58
58	81	56
59	83	55
60	84	54
61	86	53
62	87	51
63	89	50
64	90	48
65	91	47
66	93	45
67	94	44
68	95	43
69	97	41
70	98	40
71	100	39
72	102	37
73	103	36
74	105	35
75	107	33
76	108	32
77	110	31
78	111	29
79	112	28
80	114	26
81	115	25
82	117	24
83	119	22
84	120	21
85	121	19
86	122	18
87	124	16
88	125	15
89	127	14
90	128	12
91	129	11
92	131	9
93	132	8
94	134	7
95	135	5
96	136	4
97	138	2
98	139	1
99	141	0
